"","strain","starve","rsq_x","y0","y0_lm","mumax","lag"
"1","kb",0,0.999572804449711,0.02,0.00609997389734697,0.249392966001,4.98863380166763
"2","kb",2,0.999572804449711,0.02,0.00609997389734697,0.249392966001,4.98863380166763
"3","kb",4,0.99948186502863,0.02,0.00528991249977037,0.249392966001,5.55995218840517
"4","kb",6,0.998660054690421,0.02,0.00364018762960325,0.247077092086526,7.1226882069319
"5","kb",8,0.998663116275117,0.02,0.00195801528457939,0.247077092086526,9.63244688742965
"6","kb",10,0.998657908606199,0.02,0.0010600562399641,0.247069125133169,12.1163036509779
"7","kb",12,0.999475903479098,0.02,0.000674690805989449,0.249392966001,13.8172117908807
"8","kb",16,0.99957133306899,0.02,0.000444488390690078,0.249392966001,15.4905973337426
"9","kb",18,0.999580838157173,0.02,0.000312419478621204,0.249392966001,16.9043387676801
"10","kb",20,0.999553158770886,0.02,0.000268589347464073,0.249392966001,17.5104630949289
"11","wt",0,0.999543716403918,0.02,0.00607497952113779,0.231753602390087,5.04002402574047
"12","wt",2,0.999538394288582,0.02,0.00541590216830727,0.231753602390087,5.53554661974726
"13","wt",4,0.999483755606895,0.02,0.00688873912737511,0.231753602390087,4.49759686004928
"14","wt",6,0.99956406180771,0.02,0.00604768645652166,0.231753602390087,5.05945338149307
"15","wt",8,0.999362139652338,0.02,0.0056702048288975,0.231679844096654,5.3392844221441
"16","wt",10,0.998814362415902,0.02,0.00458247732441321,0.229713604492743,6.3130328651104
"17","wt",12,0.999599384726835,0.02,0.00374883631961995,0.231753602390087,7.12298254797978
"18","wt",16,0.999600650182918,0.02,0.00234776517182514,0.231753602390087,9.14228920498788
"19","wt",18,0.99941902003282,0.02,0.00178972175153286,0.231753602390087,10.3133766032728
"20","wt",20,0.999597932759661,0.02,0.00132324899862859,0.231753602390087,11.6163556447212
